ás_escuras ás_escuras RG I
ás_furtadelas ás_furtadelas RG I
así_a_todo así_a_todo RG I
así_como así_como CA I
así_mesmo así_mesmo RG I
así_pois así_pois CA I
así_que así_que CA I
ás_leguas ás_leguas RG I
a_soas a_soas RG I
ás_ocultas ás_ocultas RG I
ás_petadas ás_petadas RG I
ás_presas ás_presas RG I
ás_súas_anchas ás_súas_anchas RG I
ás_tantas ás_tantas RG I
ás_toas ás_toas RG I
ás_topadas ás_topadas RG I
á_súa_petición á_súa_petición RG I
á_súa_vez á_súa_vez RG I
ás_veces ás_veces RG I
ás_voltas_con ás_voltas_con RG I
a_tanto_alzado a_tanto_alzado RG I
ata_os_cumios ata_os_cumios RG I
ata_os_fígados ata_os_fígados RG I
ata_os_topes ata_os_topes RG I
ata_que ata_que CA I
á_tardiña á_tardiña RG I
a_tempo a_tempo RG I
a_tempo_completo a_tempo_completo RG I
a_tempo_parcial a_tempo_parcial RG I
a_torto_e_a_dereito a_torto_e_a_dereito RG I
a_través a_través RG I
a_través_de a_través_de CA I
a_treo a_treo RG I
á_túa_petición á_túa_petición RG I
a_un_e_a_outro_lado a_un_e_a_outro_lado RG I
a_un_tempo a_un_tempo RG I
a_valmontes a_valmontes RG I
a_varrer a_varrer RG I
á_vez á_vez RG I
á_vez_que á_vez_que CA I
á_vista á_vista RG I
á_vosa_petición á_vosa_petición RG I
a_vulto a_vulto RG I
axiña_que axiña_que CA I
baixo_a_base baixo_a_base RG I
baixo_cero baixo_cero RG I
baixo_control baixo_control RG I
baixo_custodia baixo_custodia RG I
baixo_man baixo_man RG I
baixo_ningún_concepto baixo_ningún_concepto RG I
baixo_o_radio baixo_o_radio RG I
baixo_sete_chaves baixo_sete_chaves RG I
baixo_xuramento baixo_xuramento RG I
baño_maría baño_maría RG I
bastante_ben bastante_ben RG I
ben_como ben_como CA I
ben_que ben_que CA I
boa_temperanza boa_temperanza RG I
boca_abaixo boca_abaixo RG I
boca_arriba boca_arriba RG I
botando_polo_alto botando_polo_alto RG I
botando_polo_baixo botando_polo_baixo RG I
cabeza_abaixo cabeza_abaixo RG I
cabeza_arriba cabeza_arriba RG I
cada_cousa_polo_seu_lado cada_cousa_polo_seu_lado RG I
cada_mañá cada_mañá RG I
cada_rato_ao_seu_burato cada_rato_ao_seu_burato RG I
cada_vez cada_vez RG I
cada_vez_que cada_vez_que CA I
canda_min canda_min RG I
canda_ti canda_ti RG I
cando_cumpra cando_cumpra RG I
cando_menos cando_menos RG I
cando_queira_que cando_queira_que CA I
canto_antes canto_antes RG I
canto_antes_mellor canto_antes_mellor RG I
canto_menos canto_menos RG I
cara_abaixo cara_abaixo RG I
cara_a_cara cara_a_cara RG I
cara_adentro cara_adentro RG I
cara_adiante cara_adiante RG I
cara_a_fóra cara_a_fóra RG I
cara_aí cara_aí RG I
cara_alá cara_alá RG I
cara_alí cara_alí RG I
cara_aquí cara_aquí RG I
cara_arriba cara_arriba RG I
cara_atrás cara_atrás RG I
cara_a cara_a SPS00 I
carne_sen_ósos carne_sen_ósos RG I
cento_por_cento cento_por_cento RG I
co_fin_de_que co_fin_de_que CA I
coma_se coma_se CA I
coma_un_foguete coma_un_foguete RG I
coma_unha_bala coma_unha_bala RG I
como_a_cotra como_a_cotra RG I
como_cómpre como_cómpre RG I
como_consecuencia como_consecuencia RG I
como_en_casa_de_seu como_en_casa_de_seu RG I
como_máximo como_máximo RG I
como_mínimo como_mínimo RG I
como_moi_tarde como_moi_tarde RG I
como_moito como_moito RG I
como_queira_que como_queira_que CA I
como_unha_cabra como_unha_cabra RG I
como_unha_frecha como_unha_frecha RG I
como_unha_pedra como_unha_pedra RG I
como_un_raio como_un_raio RG I
con_acerto con_acerto RG I
con_boa_fada con_boa_fada RG I
con_bo_propósito con_bo_propósito RG I
con_data_de con_data_de RG I
con_dereito con_dereito RG I
con_ese_fin con_ese_fin RG I
con_fartura con_fartura RG I
con_guante_branco con_guante_branco RG I
con_máis_motivo con_máis_motivo CA I
con_mil_amores con_mil_amores RG I
con_moita_brevidade con_moita_brevidade RG I
con_que con_que CA I
con_respecto_a con_respecto_a CA I
con_tal_de_que con_tal_de_que CA I
con_tal_que con_tal_que RG I
contando_desde_este_momento contando_desde_este_momento RG I
con_todas_as_da_lei con_todas_as_da_lei RG I
con_todo con_todo CA I
con_total_liberdade con_total_liberdade RG I
contra_corrente contra_corrente RG I
contra_vento_e_marea contra_vento_e_marea RG I
con_valor con_valor RG I
con_vistas con_vistas RG I
con_xeito con_xeito RG I
corpo_a_terra corpo_a_terra RG I
corpore_insepulto corpore_insepulto RG I
cos_brazos_cruzados cos_brazos_cruzados RG I
cos_dentes cos_dentes RG I
cos_fuciños_dunha_cuarta cos_fuciños_dunha_cuarta RG I
cos_ollos_pechados cos_ollos_pechados RG I
costa_abaixo costa_abaixo RG I
costa_arriba costa_arriba RG I
custe_o_que_custe custe_o_que_custe RG I
dada_conta_que dada_conta_que CA I
dado_o_caso_que dado_o_caso_que CA I
dado_que dado_que RG dado_que CA I
da_miña_propia_man da_miña_propia_man RG I
dando_por_certo dando_por_certo CA I
da_noite_para_a_mañá da_noite_para_a_mañá RG I
da_noite_para_o_día da_noite_para_o_día RG I
da_súa_propia_man da_súa_propia_man RG I
de_a_bordo de_a_bordo RG I
de_acordo de_acordo RG I
de_acordo_con de_acordo_con RG I
de_agora_en_diante de_agora_en_diante RG I
de_antemán de_antemán RG I
de_aquí_a_un_pouco de_aquí_a_un_pouco RG I
de_arriba_abaixo de_arriba_abaixo RG I
de_atrás de_atrás RG I
debaixo_do_brazo debaixo_do_brazo RG I
de_baixura de_baixura RG I
de_balde de_balde RG I
de_boa_gana de_boa_gana RG I
de_boa_raza de_boa_raza RG I
de_boca_para_fóra de_boca_para_fóra RG I
de_bo_grado de_bo_grado RG I
de_broma de_broma RG I
de_bruzos de_bruzos RG I
de_cabo_a_cabo de_cabo_a_cabo RG I
de_cacho_para_cribo de_cacho_para_cribo RG I
de_calquera_xeito de_calquera_xeito RG I
de_camiño de_camiño RG I
de_cando_en_cando de_cando_en_cando RG I
de_cando_en_vez de_cando_en_vez RG I
de_canga_baixa de_canga_baixa RG I
de_cara de_cara RG I
de_certa_idade de_certa_idade RG I
de_certo de_certo RG I
de_cintura_para_abaixo de_cintura_para_abaixo RG I
de_corrida de_corrida RG I
de_corrido de_corrido RG I
de_costas de_costas RG I
de_curta_entidade de_curta_entidade RG I
de_domingo de_domingo RG I
de_dous_en_dous de_dous_en_dous RG I
de_encarga de_encarga RG I
de_esguello de_esguello RG I
de_fábula de_fábula RG I
de_face de_face RG I
de_facerse de_facerse RG I
de_facto de_facto RG I
de_feito de_feito RG I
de_fío_a_fondo de_fío_a_fondo RG I
de_fogueo de_fogueo RG I
de_forma_que de_forma_que CA I
de_gancho de_gancho RG I
deica_pouco deica_pouco RG I
deica_que deica_que CA I
deica_un_pouco deica_un_pouco RG I
de_inmediato de_inmediato RG I
de_iure de_iure RG I
de_lei de_lei RG I
de_levarse_a_cabo de_levarse_a_cabo RG I
de_lonxe de_lonxe RG I
de_madrugada de_madrugada RG I
de_máis de_máis RG I
de_mala_gana de_mala_gana RG I
de_mal_a_peor de_mal_a_peor RG I
de_mala_sona de_mala_sona RG I
de_mal_grado de_mal_grado RG I
de_maneira_que de_maneira_que CA I
de_maneira_total de_maneira_total RG I
de_menos de_menos RG I
de_mentira de_mentira RG I
de_modo_que de_modo_que CA I
de_mofa de_mofa RG I
de_moito_nabo de_moito_nabo RG I
de_momento de_momento RG I
de_morte de_morte RG I
de_nacemento de_nacemento RG I
de_nada de_nada RG I
dende_o_alto dende_o_alto RG I
de_ningunha_maneira de_ningunha_maneira RG I
de_ningún_xeito de_ningún_xeito RG I
de_non_ser_así de_non_ser_así CA I
de_non_ser_que de_non_ser_que CA I
de_non_ser_se de_non_ser_se CA I
