gogyfer_â gogyfer_â SPS000 
rhyngddo_i rhwng+prpers SPS000+PP1CSO00 
ei_hun ei_hun PP3CSN00 
fy_hun fy_hun PP1CSN00 
fesul_gwesteiwr fesul_gwesteiwr RG 
wedi_syfrdanoch wedi_syfrdanu VMSP2P0 
ar_y_gweill ar_y_gweill RG 
drwyddi_hi drwy+prpers SPS000+PP3FSO00 trwy+prpers SPS000+PP3FSO00 
mwy_na_thebyg mwy_na_thebyg RG 
ar_ei_phen_ei_hun ar_ei_phen_ei_hun RG 
ar_fy_mhen_fy_hun ar_fy_mhen_fy_hun RG 
arnat_ti ar+prpers SPS000+PP2CSO00 
drwom_ni drwy+prpers SPS000+PP1CPO00 
trosom_ni tros+prpers SPS000+PP1CPO00 
heboch_chi heb+prpers SPS000+PP2CPO00 
ar_un_adeg ar_un_adeg RG 
ar_bwys ar_bwys SPS000 
onyn_nhw o+prpers SPS000+PP3CPO00 
wrtho_i wrth+prpers SPS000+PP1CSO00 
ynoch_chi yn+prpers SPS000+PP2CPO00 
ar_gyfartaledd ar_gyfartaledd RG 
ynof_fi yn+prpers SPS000+PP1CSO00 
oni_hi o+prpers SPS000+PP3FSO00 
amdanyn_nhw am+prpers SPS000+PP3CPO00 
erddyn_nhw er+prpers SPS000+PP3CPO00 
dana_i dan+prpers SPS000+PP1CSO00 
yn_llygad_ei_le yn_llygad_ei_le RG 
amdanom_ni am+prpers SPS000+PP1CPO00 
wedi_syfrdaned wedi_syfrdanu VMM03S0 
union_gywir union_gywir RG 
ganddoch_chi gan+prpers SPS000+PP2CPO00 
ar_fin ar_fin SPS000 
wedi_syfrdanaswn wedi_syfrdanu VMIX1S0 
wedi_syfrdanem wedi_syfrdanu VMII1P0 
wrth_ymyl wrth_ymyl SPS000 
trosti_hi tros+prpers SPS000+PP3FSO00 
trwyddynt_hwy trwy+prpers SPS000+PP3CPO00 
amdana_i am+prpers SPS000+PP1CSO00 
yno_i yn+prpers SPS000+PP1CSO00 
ar_werth ar_werth RG 
wedi_syfrdaner wedi_syfrdanu VMSPIP0 wedi_syfrdanu VMM0IP0 
o'r_blaen o'r_blaen RG 
wedi_syfrdanasem wedi_syfrdanu VMIX1P0 
drwyddo_ef drwy+prpers SPS000+PP3MSO00 
wrthi_hi wrth+prpers SPS000+PP3FSO00 
monoch_chi monoch_chi RG 
eg_ar_ben eg_ar_ben SPS000 
eu_hunain eu_hun PP3CPN00 
arni_hi ar+prpers SPS000+PP3FSO00 
am_amser_hir am_amser_hir RG 
hebddot_ti heb+prpers SPS000+PP2CSO00 
tuag_ati_hi tuag_at+prpers SPS000+PP3FSO00 
nesaf_ato_fe nesaf_at+prpers SPS000+PP3MSO00 
ynddo_fo yn+prpers SPS000+PP3MSO00 
arnyn_nhw ar+prpers SPS000+PP3CPO00 
ynddo_fe yn+prpers SPS000+PP3MSO00 
ei_gilydd ei_gilydd RG 
nesaf_ato_fo nesaf_at+prpers SPS000+PP3MSO00 
erof_fi er+prpers SPS000+PP1CSO00 
onon_ni o+prpers SPS000+PP1CPO00 
dano_fo dan+prpers SPS000+PP3MSO00 
pa_mor pa_mor DT0CN0 
dano_fe dan+prpers SPS000+PP3MSO00 
oddi_wrtha_i oddi_wrth+prpers SPS000+PP1CSO00 
ganddyn_nhw gan+prpers SPS000+PP3CPO00 
yn_hwyr_neu'n_hwyrach yn_hwyr_neu'n_hwyrach RG 
arnaf_fi ar+prpers SPS000+PP1CSO00 
atyn_nhw at+prpers SPS000+PP3CPO00 
rhagddo_fe rhag+prpers SPS000+PP3MSO00 
ohono_fe o+prpers SPS000+PP3MSO00 
at_hynny at_hynny RG 
o_lawer o_lawer RG 
nesaf_atoch_chi nesaf_at+prpers SPS000+PP2CPO00 
i'r_chwith i'r_chwith RG 
iddynt_hwy i+prpers SPS000+PP3CPO00 
rhagddo_fo rhag+prpers SPS000+PP3MSO00 
tuag_ata_i tuag_at+prpers SPS000+PP1CSO00 
faint_mor faint_mor DT0CN0 
nesaf_atynt_hwy nesaf_at+prpers SPS000+PP3CPO00 
gynnon_ni gan+prpers SPS000+PP1CPO00 
